n = 1000
time elapsed = 0.02
i              x              V
471       0.471528       0.519531
472       0.472527       0.518621
473       0.473526       0.517711
474       0.474525       0.516799
475       0.475524       0.515886
476       0.476523       0.514973
477       0.477522       0.514059
478       0.478521       0.513144
479        0.47952       0.512228
480       0.480519       0.511311
481       0.481518       0.510393
482       0.482517       0.509475
483       0.483516       0.508556
484       0.484515       0.507636
485       0.485514       0.506715
486       0.486513       0.505794
487       0.487512       0.504871
488       0.488511       0.503948
489        0.48951       0.503024
490       0.490509         0.5021
491       0.491508       0.501175
492       0.492507       0.500249
493       0.493506       0.499322
494       0.494505       0.498394
495       0.495504       0.497466
496       0.496503       0.496537
497       0.497502       0.495608
498       0.498501       0.494677
499         0.4995       0.493746
500         0.5005       0.492815
501       0.501499       0.491882
502       0.502498       0.490949
503       0.503497       0.490016
504       0.504496       0.489082
505       0.505495       0.488147
506       0.506494       0.487211
507       0.507493       0.486275
508       0.508492       0.485338
509       0.509491       0.484401
510        0.51049       0.483463
511       0.511489       0.482524
512       0.512488       0.481585
513       0.513487       0.480645
514       0.514486       0.479705
515       0.515485       0.478764
516       0.516484       0.477822
517       0.517483        0.47688
518       0.518482       0.475937
519       0.519481       0.474994
520        0.52048        0.47405
521       0.521479       0.473106
522       0.522478       0.472161
523       0.523477       0.471215
524       0.524476       0.470269
525       0.525475       0.469323
526       0.526474       0.468376
527       0.527473       0.467428
528       0.528472        0.46648
529       0.529471       0.465532
530        0.53047       0.464582
531       0.531469       0.463633
532       0.532468       0.462683
533       0.533467       0.461732
534       0.534466       0.460781
535       0.535465        0.45983
536       0.536464       0.458878
537       0.537463       0.457925
538       0.538462       0.456973
539       0.539461       0.456019
540        0.54046       0.455065
541       0.541459       0.454111
542       0.542458       0.453156
543       0.543457       0.452201
544       0.544456       0.451246
545       0.545455        0.45029
546       0.546454       0.449333
547       0.547453       0.448376
548       0.548452       0.447419
549       0.549451       0.446461
550        0.55045       0.445503
551       0.551449       0.444545
552       0.552448       0.443586
553       0.553447       0.442627
554       0.554446       0.441667
555       0.555445       0.440707
556       0.556444       0.439746
557       0.557443       0.438785
558       0.558442       0.437824
