n = 1000
i              x              u
880        0.88012       0.118889
881       0.881119        0.11789
882       0.882118       0.116892
883       0.883117       0.115893
884       0.884116       0.114895
885       0.885115       0.113896
886       0.886114       0.112898
887       0.887113       0.111899
888       0.888112       0.110901
889       0.889111       0.109902
890        0.89011       0.108904
891       0.891109       0.107905
892       0.892108       0.106907
893       0.893107       0.105908
894       0.894106       0.104909
895       0.895105       0.103911
896       0.896104       0.102912
897       0.897103       0.101913
898       0.898102       0.100915
899       0.899101      0.0999159
900         0.9001      0.0989172
901       0.901099      0.0979185
902       0.902098      0.0969198
903       0.903097       0.095921
904       0.904096      0.0949223
905       0.905095      0.0939235
906       0.906094      0.0929247
907       0.907093      0.0919259
908       0.908092      0.0909271
909       0.909091      0.0899283
910        0.91009      0.0889295
911       0.911089      0.0879306
912       0.912088      0.0869318
913       0.913087      0.0859329
914       0.914086      0.0849341
915       0.915085      0.0839352
916       0.916084      0.0829363
917       0.917083      0.0819374
918       0.918082      0.0809385
919       0.919081      0.0799396
920        0.92008      0.0789406
921       0.921079      0.0779417
922       0.922078      0.0769427
923       0.923077      0.0759438
924       0.924076      0.0749448
925       0.925075      0.0739458
926       0.926074      0.0729468
927       0.927073      0.0719478
928       0.928072      0.0709488
929       0.929071      0.0699498
930        0.93007      0.0689508
931       0.931069      0.0679517
932       0.932068      0.0669527
933       0.933067      0.0659536
934       0.934066      0.0649546
935       0.935065      0.0639555
936       0.936064      0.0629564
937       0.937063      0.0619573
938       0.938062      0.0609582
939       0.939061      0.0599591
940        0.94006        0.05896
941       0.941059      0.0579609
942       0.942058      0.0569617
943       0.943057      0.0559626
944       0.944056      0.0549634
945       0.945055      0.0539643
946       0.946054      0.0529651
947       0.947053      0.0519659
948       0.948052      0.0509668
949       0.949051      0.0499676
950        0.95005      0.0489684
951       0.951049      0.0479692
952       0.952048        0.04697
953       0.953047      0.0459708
954       0.954046      0.0449715
955       0.955045      0.0439723
956       0.956044      0.0429731
957       0.957043      0.0419738
958       0.958042      0.0409746
959       0.959041      0.0399753
960        0.96004       0.038976
961       0.961039      0.0379768
962       0.962038      0.0369775
963       0.963037      0.0359782
964       0.964036      0.0349789
965       0.965035      0.0339796
966       0.966034      0.0329803
967       0.967033       0.031981
968       0.968032      0.0309817
969       0.969031      0.0299824
970        0.97003       0.028983
971       0.971029      0.0279837
972       0.972028      0.0269843
973       0.973027       0.025985
974       0.974026      0.0249856
975       0.975025      0.0239863
976       0.976024      0.0229869
977       0.977023      0.0219875
978       0.978022      0.0209882
979       0.979021      0.0199888
980        0.98002      0.0189894
981       0.981019        0.01799
982       0.982018      0.0169906
983       0.983017      0.0159912
984       0.984016      0.0149918
985       0.985015      0.0139924
986       0.986014      0.0129929
987       0.987013      0.0119935
988       0.988012      0.0109941
989       0.989011     0.00999464
990        0.99001      0.0089952
991       0.991009     0.00799575
992       0.992008      0.0069963
993       0.993007     0.00599684
994       0.994006     0.00499738
995       0.995005     0.00399791
996       0.996004     0.00299844
997       0.997003     0.00199897
998       0.998002    0.000999485
999       0.999001   1.79066e-307
